horse_id,sire,dam,bms
2021104523,クリエイターIICreator(米),タマモボレロ,ハーツクライ
2021102247,コパノリッキー,リントス,ウォーエンブレムWar Emblem(米)
2021103512,エピファネイア,ツインクルスター,サクラバクシンオー
2021102753,ホッコータルマエ,デルマオサキ,ネオユニヴァース
2021100005,シニスターミニスターSinister Minister(米),プーカ,キングカメハメハ
2021107286,ホークビルHawkbill(米),ミユキアストラーレ,ルーラーシップ
2021100213,リアルスティール,レックスレイノスLexlenos(愛),Intikhab
2021102126,ホークビルHawkbill(米),リシャールサーバー,フサイチリシャール
2021106221,マインドユアビスケッツMind Your Biscuits(米),フラニーフロイドFranny Freud(米),Freud
2021106213,サンダースノーThunder Snow(愛),コスモネモシン,ゼンノロブロイ
2021105524,ルーラーシップ,コーディエライト,ダイワメジャー
2021100374,アジアエクスプレス,サプライズライン,スウェプトオーヴァーボードSwept Overboard(米)
